,X,Y,Z(intensidade)
0,0,0,0.152596
1,1,0,0.152566
2,2,0,0.152596
3,3,0,0.152612
4,4,0,0.152665
5,5,0,0.152658
6,6,0,0.152627
7,7,0,0.152627
8,8,0,0.152444
9,9,0,0.149735
10,10,0,0.145616
11,11,0,0.139947
12,12,0,0.130883
13,13,0,0.114777
14,14,0,0.0695577
15,15,0,0.0341952
16,16,0,0.0168458
17,17,0,0.00804144
18,18,0,0.0040665
19,19,0,0.00318147
20,20,0,0.00264741
21,21,0,0.00232698
22,22,0,0.00221254
23,23,0,0.00277711
24,24,0,0.00587466
25,25,0,0.012352
26,26,0,0.02343
27,27,0,0.0359576
28,28,0,0.0489428
29,29,0,0.0605242
30,30,0,0.0747991
31,31,0,0.102097
32,32,0,0.132386
33,33,0,0.143312
34,34,0,0.148751
35,35,0,0.152268
36,36,0,0.153298
37,37,0,0.153253
38,38,0,0.153146
39,39,0,0.152223
40,40,0,0.147416
41,41,0,0.140183
42,42,0,0.129807
43,43,0,0.104836
44,44,0,0.0799642
45,45,0,0.0739217
46,46,0,0.0712438
47,47,0,0.0677419
48,48,0,0.0640111
49,49,0,0.0652089
50,50,0,0.06955
51,51,0,0.082871
52,52,0,0.100953
53,53,0,0.13215
54,54,0,0.141137
55,55,0,0.147775
56,56,0,0.151155
57,57,0,0.15278
58,58,0,0.152986
59,59,0,0.152886
60,60,0,0.152848
61,61,0,0.151429
62,62,0,0.148225
63,63,0,0.140443
64,64,0,0.127648
65,65,0,0.090363
66,66,0,0.0513766
67,67,0,0.0306932
68,68,0,0.0153275
69,69,0,0.00744632
70,70,0,0.00427249
71,71,0,0.00373842
72,72,0,0.0049744
73,73,0,0.00941473
74,74,0,0.0235826
75,75,0,0.0460513
76,76,0,0.0641637
77,77,0,0.0849156
78,78,0,0.106446
79,79,0,0.126229
80,80,0,0.136865
